Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Boston,14,100.2,40.7,21.6,8.2,5.3,15.3,24.5,29.7,11,111.9,1.3
Chicago,15,95,43.9,21.3,7,4.5,16,25,31.5,12.4,103.3,0.1
Indiana,16,91.8,40.1,18.1,7.6,4.6,13.6,22.9,29.4,10.6,100.1,-0.5
Orlando,17,99.5,43.7,19.3,7.7,5.4,15.6,23.6,31,12.7,108.6,-2.9
New Jersey,18,91.7,39.7,21.6,7.9,3.6,13.4,24.5,29.1,10.5,100.1,-2.9
Utah,19,93,40.1,22.3,6.6,4.6,14.9,26.7,27.4,12.8,102.5,-4.5
Philadelphia,20,98.6,41.6,20.8,9.2,3.9,15,22.8,30.6,11,107.3,-4.9
New York,21,97.3,41,20.3,7.7,3.2,13.9,23.7,29.2,11.8,105.5,-5.7
Toronto,22,99.7,40.1,20.4,7.6,3.9,12.6,22.9,29.8,10.3,108,-7
Washington,23,100.5,42.8,18.9,8.7,4.4,13.8,22.4,29.1,13.7,106.2,-7.1
Portland,24,92.9,41.1,21,7.1,6.6,15.1,20.8,29.3,11.8,104.2,-7.7
Golden State,25,98.7,42.7,22.1,7.8,5.1,13.1,22.4,29.7,13,107.8,-8.2
Milwaukee,26,97.2,41.3,21,6.5,3.5,13.3,21.9,29.3,12,105.9,-8.9
Charlotte,27,94.3,41.7,21.9,8.5,5.4,13.9,23.1,28.5,13.2,102.8,-11
L.A.Lakers,28,98.7,43.2,20.4,6.2,4.2,13.7,21.9,30.6,12.5,107.6,-11.1
New Orleans,29,88.4,40.2,21,6.7,3.8,13.9,23,27.8,12.4,94.2,-16.2
San Antonio,1,96.6,40.9,20.5,6.6,5.7,13.2,21.3,30.8,10.1,109.8,15.1
Phoenix,2,108.1,40.8,26,6.5,4.9,12.4,20.8,31.7,9.1,125.2,14
Detroit,3,95.9,40.2,23.1,7,5.6,10.8,18.8,28.4,11.8,110.9,13.7
Dallas,4,99.3,42.3,17.4,7.1,5.6,12.7,23.1,29.8,12.5,110.7,12.7
L.A.Clippers,6,98.3,43.4,20.8,6.3,6.1,13.9,23,33.2,10.2,113.6,9.3
